,spanish_men,spanish_women,spanish_total,foreign_men,foreign_women,foreign_total,men_total,women_total,total,district,date,year
50 - 54,4182,4624,8806,788,820,1608,4970,5444,10414,USERA / TODOS,01-01-2017,2017
55 - 59,3596,3888,7484,456,525,981,4052,4413,8465,USERA / TODOS,01-01-2017,2017
60 - 64,2646,3106,5752,207,285,492,2853,3391,6244,USERA / TODOS,01-01-2017,2017
65 - 69,2145,2748,4893,102,170,272,2247,2918,5165,USERA / TODOS,01-01-2017,2017
70 - 74,1914,2681,4595,61,91,152,1975,2772,4747,USERA / TODOS,01-01-2017,2017
75 - 79,1563,2559,4122,36,54,90,1599,2613,4212,USERA / TODOS,01-01-2017,2017
80 - 84,1802,3123,4925,12,33,45,1814,3156,4970,USERA / TODOS,01-01-2017,2017
85 - 89,1143,2189,3332,10,16,26,1153,2205,3358,USERA / TODOS,01-01-2017,2017
90 - 94,381,920,1301,0,2,2,381,922,1303,USERA / TODOS,01-01-2017,2017
95 - 99,63,215,278,0,2,2,63,217,280,USERA / TODOS,01-01-2017,2017
100 o más,6,26,32,0,1,1,6,27,33,USERA / TODOS,01-01-2017,2017
Total,91475,102364,193839,16751,17659,34410,108226,120023,228249,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
0 - 4,3863,3654,7517,1078,1023,2101,4941,4677,9618,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
5 - 9,4649,4248,8897,764,674,1438,5413,4922,10335,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
10 - 14,4672,4417,9089,629,588,1217,5301,5005,10306,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
15 - 19,4884,4639,9523,840,838,1678,5724,5477,11201,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
20 - 24,5195,5019,10214,1267,1453,2720,6462,6472,12934,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
25 - 29,5465,5186,10651,1751,2096,3847,7216,7282,14498,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
30 - 34,5492,5432,10924,2241,2565,4806,7733,7997,15730,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
35 - 39,6184,6360,12544,2444,2373,4817,8628,8733,17361,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
40 - 44,6892,7122,14014,2065,1913,3978,8957,9035,17992,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
45 - 49,7346,8011,15357,1522,1465,2987,8868,9476,18344,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
50 - 54,8088,9135,17223,945,1032,1977,9033,10167,19200,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
55 - 59,7316,8112,15428,593,682,1275,7909,8794,16703,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
60 - 64,5165,5832,10997,313,435,748,5478,6267,11745,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
65 - 69,4034,4945,8979,129,251,380,4163,5196,9359,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
70 - 74,3463,4685,8148,96,124,220,3559,4809,8368,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
75 - 79,2957,4721,7678,40,73,113,2997,4794,7791,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
80 - 84,3140,5261,8401,24,53,77,3164,5314,8478,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
85 - 89,1911,3724,5635,8,18,26,1919,3742,5661,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
90 - 94,652,1498,2150,2,1,3,654,1499,2153,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
95 - 99,99,310,409,0,1,1,99,311,410,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
100 o más,8,53,61,0,1,1,8,54,62,PUENTE DE VALLECAS / TODOS,01-01-2017,2017
Total,39964,46964,86928,3415,4152,7567,43379,51116,94495,MORATALAZ / TODOS,01-01-2017,2017
0 - 4,1433,1361,2794,165,171,336,1598,1532,3130,MORATALAZ / TODOS,01-01-2017,2017
5 - 9,1737,1580,3317,157,146,303,1894,1726,3620,MORATALAZ / TODOS,01-01-2017,2017
10 - 14,1877,1882,3759,125,116,241,2002,1998,4000,MORATALAZ / TODOS,01-01-2017,2017
15 - 19,2090,2023,4113,248,180,428,2338,2203,4541,MORATALAZ / TODOS,01-01-2017,2017
20 - 24,2252,2130,4382,326,386,712,2578,2516,5094,MORATALAZ / TODOS,01-01-2017,2017
25 - 29,2075,2010,4085,368,459,827,2443,2469,4912,MORATALAZ / TODOS,01-01-2017,2017
30 - 34,2082,2015,4097,433,597,1030,2515,2612,5127,MORATALAZ / TODOS,01-01-2017,2017
35 - 39,2314,2400,4714,446,527,973,2760,2927,5687,MORATALAZ / TODOS,01-01-2017,2017
40 - 44,2614,2871,5485,359,432,791,2973,3303,6276,MORATALAZ / TODOS,01-01-2017,2017
45 - 49,3166,3630,6796,295,337,632,3461,3967,7428,MORATALAZ / TODOS,01-01-2017,2017
50 - 54,3470,4048,7518,174,252,426,3644,4300,7944,MORATALAZ / TODOS,01-01-2017,2017
55 - 59,3084,3470,6554,127,232,359,3211,3702,6913,MORATALAZ / TODOS,01-01-2017,2017
60 - 64,2238,2805,5043,80,120,200,2318,2925,5243,MORATALAZ / TODOS,01-01-2017,2017
65 - 69,1994,2773,4767,41,75,116,2035,2848,4883,MORATALAZ / TODOS,01-01-2017,2017
70 - 74,2134,3122,5256,32,53,85,2166,3175,5341,MORATALAZ / TODOS,01-01-2017,2017
75 - 79,1980,3096,5076,20,29,49,2000,3125,5125,MORATALAZ / TODOS,01-01-2017,2017
80 - 84,2019,2996,5015,9,24,33,2028,3020,5048,MORATALAZ / TODOS,01-01-2017,2017
85 - 89,1059,1852,2911,6,10,16,1065,1862,2927,MORATALAZ / TODOS,01-01-2017,2017
90 - 94,297,690,987,4,6,10,301,696,997,MORATALAZ / TODOS,01-01-2017,2017
95 - 99,41,172,213,0,0,0,41,172,213,MORATALAZ / TODOS,01-01-2017,2017
100 o más,8,38,46,0,0,0,8,38,46,MORATALAZ / TODOS,01-01-2017,2017
Total,84614,101947,186561,11989,14583,26572,96603,116530,213133,CIUDAD LINEAL / TODOS,01-01-2017,2017
0 - 4,3567,3469,7036,669,600,1269,4236,4069,8305,CIUDAD LINEAL / TODOS,01-01-2017,2017
5 - 9,3980,3753,7733,459,472,931,4439,4225,8664,CIUDAD LINEAL / TODOS,01-01-2017,2017
10 - 14,4187,4044,8231,389,441,830,4576,4485,9061,CIUDAD LINEAL / TODOS,01-01-2017,2017
15 - 19,4168,3947,8115,620,549,1169,4788,4496,9284,CIUDAD LINEAL / TODOS,01-01-2017,2017
20 - 24,4212,4116,8328,811,1019,1830,5023,5135,10158,CIUDAD LINEAL / TODOS,01-01-2017,2017
25 - 29,4550,4494,9044,1222,1850,3072,5772,6344,12116,CIUDAD LINEAL / TODOS,01-01-2017,2017
30 - 34,4988,5110,10098,1632,2222,3854,6620,7332,13952,CIUDAD LINEAL / TODOS,01-01-2017,2017
35 - 39,5752,6153,11905,1824,2007,3831,7576,8160,15736,CIUDAD LINEAL / TODOS,01-01-2017,2017
40 - 44,6342,6892,13234,1438,1572,3010,7780,8464,16244,CIUDAD LINEAL / TODOS,01-01-2017,2017
45 - 49,6419,7618,14037,1057,1233,2290,7476,8851,16327,CIUDAD LINEAL / TODOS,01-01-2017,2017
50 - 54,6772,8285,15057,710,929,1639,7482,9214,16696,CIUDAD LINEAL / TODOS,01-01-2017,2017
55 - 59,6172,7736,13908,502,683,1185,6674,8419,15093,CIUDAD LINEAL / TODOS,01-01-2017,2017
60 - 64,4829,6381,11210,271,392,663,5100,6773,11873,CIUDAD LINEAL / TODOS,01-01-2017,2017
65 - 69,4437,5959,10396,168,265,433,4605,6224,10829,CIUDAD LINEAL / TODOS,01-01-2017,2017
70 - 74,4188,6097,10285,91,160,251,4279,6257,10536,CIUDAD LINEAL / TODOS,01-01-2017,2017
75 - 79,3440,5487,8927,75,95,170,3515,5582,9097,CIUDAD LINEAL / TODOS,01-01-2017,2017
80 - 84,3490,5887,9377,28,48,76,3518,5935,9453,CIUDAD LINEAL / TODOS,01-01-2017,2017
85 - 89,2203,4197,6400,19,30,49,2222,4227,6449,CIUDAD LINEAL / TODOS,01-01-2017,2017
90 - 94,778,1819,2597,4,12,16,782,1831,2613,CIUDAD LINEAL / TODOS,01-01-2017,2017
95 - 99,128,418,546,0,3,3,128,421,549,CIUDAD LINEAL / TODOS,01-01-2017,2017
100 o más,12,85,97,0,1,1,12,86,98,CIUDAD LINEAL / TODOS,01-01-2017,2017
Total,78777,86066,164843,7147,8889,16036,85924,94955,180879,HORTALEZA / TODOS,01-01-2017,2017
0 - 4,4592,4445,9037,460,447,907,5052,4892,9944,HORTALEZA / TODOS,01-01-2017,2017
5 - 9,5054,4672,9726,424,376,800,5478,5048,10526,HORTALEZA / TODOS,01-01-2017,2017
10 - 14,4383,4234,8617,408,369,777,4791,4603,9394,HORTALEZA / TODOS,01-01-2017,2017
15 - 19,4017,3789,7806,349,355,704,4366,4144,8510,HORTALEZA / TODOS,01-01-2017,2017
20 - 24,3768,3519,7287,373,447,820,4141,3966,8107,HORTALEZA / TODOS,01-01-2017,2017
25 - 29,3791,3726,7517,566,889,1455,4357,4615,8972,HORTALEZA / TODOS,01-01-2017,2017
30 - 34,4610,4708,9318,806,1188,1994,5416,5896,11312,HORTALEZA / TODOS,01-01-2017,2017
35 - 39,6226,6513,12739,1013,1255,2268,7239,7768,15007,HORTALEZA / TODOS,01-01-2017,2017
40 - 44,7067,7408,14475,899,1022,1921,7966,8430,16396,HORTALEZA / TODOS,01-01-2017,2017
45 - 49,6284,6748,13032,683,837,1520,6967,7585,14552,HORTALEZA / TODOS,01-01-2017,2017
50 - 54,5910,6630,12540,438,560,998,6348,7190,13538,HORTALEZA / TODOS,01-01-2017,2017
55 - 59,5234,5615,10849,274,390,664,5508,6005,11513,HORTALEZA / TODOS,01-01-2017,2017
60 - 64,3966,4690,8656,186,279,465,4152,4969,9121,HORTALEZA / TODOS,01-01-2017,2017
65 - 69,3788,4856,8644,97,171,268,3885,5027,8912,HORTALEZA / TODOS,01-01-2017,2017
70 - 74,3650,4654,8304,63,126,189,3713,4780,8493,HORTALEZA / TODOS,01-01-2017,2017
75 - 79,2652,3389,6041,65,94,159,2717,3483,6200,HORTALEZA / TODOS,01-01-2017,2017
80 - 84,2129,3185,5314,22,43,65,2151,3228,5379,HORTALEZA / TODOS,01-01-2017,2017
85 - 89,1188,2060,3248,14,26,40,1202,2086,3288,HORTALEZA / TODOS,01-01-2017,2017
90 - 94,388,893,1281,7,12,19,395,905,1300,HORTALEZA / TODOS,01-01-2017,2017
95 - 99,74,281,355,0,2,2,74,283,357,HORTALEZA / TODOS,01-01-2017,2017
100 o más,6,51,57,0,1,1,6,52,58,HORTALEZA / TODOS,01-01-2017,2017
Total,56653,62404,119057,11868,12134,24002,68521,74538,143059,VILLAVERDE / TODOS,01-01-2017,2017
0 - 4,2791,2588,5379,824,799,1623,3615,3387,7002,VILLAVERDE / TODOS,01-01-2017,2017
5 - 9,3707,3422,7129,586,511,1097,4293,3933,8226,VILLAVERDE / TODOS,01-01-2017,2017
10 - 14,3447,3189,6636,421,406,827,3868,3595,7463,VILLAVERDE / TODOS,01-01-2017,2017
15 - 19,2884,2924,5808,536,525,1061,3420,3449,6869,VILLAVERDE / TODOS,01-01-2017,2017
20 - 24,2897,2826,5723,834,940,1774,3731,3766,7497,VILLAVERDE / TODOS,01-01-2017,2017
25 - 29,2838,2930,5768,1109,1403,2512,3947,4333,8280,VILLAVERDE / TODOS,01-01-2017,2017
30 - 34,2856,2931,5787,1490,1686,3176,4346,4617,8963,VILLAVERDE / TODOS,01-01-2017,2017
35 - 39,3637,4011,7648,1799,1553,3352,5436,5564,11000,VILLAVERDE / TODOS,01-01-2017,2017
40 - 44,4962,5209,10171,1509,1317,2826,6471,6526,12997,VILLAVERDE / TODOS,01-01-2017,2017
45 - 49,4916,5245,10161,1114,992,2106,6030,6237,12267,VILLAVERDE / TODOS,01-01-2017,2017
50 - 54,4982,5091,10073,717,755,1472,5699,5846,11545,VILLAVERDE / TODOS,01-01-2017,2017
55 - 59,3776,4036,7812,489,520,1009,4265,4556,8821,VILLAVERDE / TODOS,01-01-2017,2017
60 - 64,2648,2948,5596,234,330,564,2882,3278,6160,VILLAVERDE / TODOS,01-01-2017,2017
65 - 69,2254,2905,5159,96,189,285,2350,3094,5444,VILLAVERDE / TODOS,01-01-2017,2017
70 - 74,2354,3197,5551,50,100,150,2404,3297,5701,VILLAVERDE / TODOS,01-01-2017,2017
75 - 79,2064,3019,5083,27,58,85,2091,3077,5168,VILLAVERDE / TODOS,01-01-2017,2017
80 - 84,2174,3156,5330,21,28,49,2195,3184,5379,VILLAVERDE / TODOS,01-01-2017,2017
85 - 89,1113,1915,3028,8,16,24,1121,1931,3052,VILLAVERDE / TODOS,01-01-2017,2017
90 - 94,307,694,1001,4,3,7,311,697,1008,VILLAVERDE / TODOS,01-01-2017,2017
95 - 99,39,149,188,0,1,1,39,150,189,VILLAVERDE / TODOS,01-01-2017,2017
100 o más,7,19,26,0,2,2,7,21,28,VILLAVERDE / TODOS,01-01-2017,2017
Total,45425,47904,93329,5356,5880,11236,50781,53784,104565,VILLA DE VALLECAS / TODOS,01-01-2017,2017
0 - 4,3579,3304,6883,387,394,781,3966,3698,7664,VILLA DE VALLECAS / TODOS,01-01-2017,2017
5 - 9,3123,2885,6008,302,275,577,3425,3160,6585,VILLA DE VALLECAS / TODOS,01-01-2017,2017
10 - 14,2403,2159,4562,256,216,472,2659,2375,5034,VILLA DE VALLECAS / TODOS,01-01-2017,2017
15 - 19,1983,1965,3948,268,250,518,2251,2215,4466,VILLA DE VALLECAS / TODOS,01-01-2017,2017
20 - 24,2052,1976,4028,305,373,678,2357,2349,4706,VILLA DE VALLECAS / TODOS,01-01-2017,2017
25 - 29,2547,2625,5172,509,678,1187,3056,3303,6359,VILLA DE VALLECAS / TODOS,01-01-2017,2017
30 - 34,3415,3729,7144,730,839,1569,4145,4568,8713,VILLA DE VALLECAS / TODOS,01-01-2017,2017
35 - 39,5157,5282,10439,814,822,1636,5971,6104,12075,VILLA DE VALLECAS / TODOS,01-01-2017,2017
40 - 44,5009,4857,9866,631,595,1226,5640,5452,11092,VILLA DE VALLECAS / TODOS,01-01-2017,2017
45 - 49,3411,3457,6868,462,483,945,3873,3940,7813,VILLA DE VALLECAS / TODOS,01-01-2017,2017
50 - 54,2973,3321,6294,283,336,619,3256,3657,6913,VILLA DE VALLECAS / TODOS,01-01-2017,2017
55 - 59,2600,2844,5444,169,239,408,2769,3083,5852,VILLA DE VALLECAS / TODOS,01-01-2017,2017
60 - 64,1882,2267,4149,120,177,297,2002,2444,4446,VILLA DE VALLECAS / TODOS,01-01-2017,2017
65 - 69,1754,1959,3713,60,86,146,1814,2045,3859,VILLA DE VALLECAS / TODOS,01-01-2017,2017
70 - 74,1303,1568,2871,25,53,78,1328,1621,2949,VILLA DE VALLECAS / TODOS,01-01-2017,2017
75 - 79,900,1263,2163,18,31,49,918,1294,2212,VILLA DE VALLECAS / TODOS,01-01-2017,2017
80 - 84,766,1220,1986,6,15,21,772,1235,2007,VILLA DE VALLECAS / TODOS,01-01-2017,2017
85 - 89,408,772,1180,8,9,17,416,781,1197,VILLA DE VALLECAS / TODOS,01-01-2017,2017
90 - 94,132,358,490,3,6,9,135,364,499,VILLA DE VALLECAS / TODOS,01-01-2017,2017
95 - 99,27,79,106,0,1,1,27,80,107,VILLA DE VALLECAS / TODOS,01-01-2017,2017
100 o más,1,14,15,0,2,2,1,16,17,VILLA DE VALLECAS / TODOS,01-01-2017,2017
Total,30300,32104,62404,3823,3976,7799,34123,36080,70203,VICALVARO / TODOS,01-01-2017,2017
0 - 4,1522,1430,2952,272,233,505,1794,1663,3457,VICALVARO / TODOS,01-01-2017,2017
5 - 9,2343,2192,4535,191,222,413,2534,2414,4948,VICALVARO / TODOS,01-01-2017,2017
10 - 14,2091,2132,4223,165,158,323,2256,2290,4546,VICALVARO / TODOS,01-01-2017,2017
15 - 19,1827,1642,3469,190,191,381,2017,1833,3850,VICALVARO / TODOS,01-01-2017,2017
20 - 24,1452,1440,2892,275,290,565,1727,1730,3457,VICALVARO / TODOS,01-01-2017,2017
25 - 29,1290,1208,2498,375,420,795,1665,1628,3293,VICALVARO / TODOS,01-01-2017,2017
30 - 34,1329,1319,2648,442,529,971,1771,1848,3619,VICALVARO / TODOS,01-01-2017,2017
35 - 39,1841,2056,3897,548,551,1099,2389,2607,4996,VICALVARO / TODOS,01-01-2017,2017
40 - 44,3239,3536,6775,460,393,853,3699,3929,7628,VICALVARO / TODOS,01-01-2017,2017
45 - 49,3169,3341,6510,365,323,688,3534,3664,7198,VICALVARO / TODOS,01-01-2017,2017
50 - 54,2855,2814,5669,208,232,440,3063,3046,6109,VICALVARO / TODOS,01-01-2017,2017
55 - 59,1908,1956,3864,152,190,342,2060,2146,4206,VICALVARO / TODOS,01-01-2017,2017
60 - 64,1134,1266,2400,102,111,213,1236,1377,2613,VICALVARO / TODOS,01-01-2017,2017
65 - 69,937,1174,2111,45,61,106,982,1235,2217,VICALVARO / TODOS,01-01-2017,2017
70 - 74,997,1448,2445,8,36,44,1005,1484,2489,VICALVARO / TODOS,01-01-2017,2017
75 - 79,1041,1227,2268,17,22,39,1058,1249,2307,VICALVARO / TODOS,01-01-2017,2017
80 - 84,819,1043,1862,5,8,13,824,1051,1875,VICALVARO / TODOS,01-01-2017,2017
85 - 89,380,583,963,3,4,7,383,587,970,VICALVARO / TODOS,01-01-2017,2017
90 - 94,104,236,340,0,1,1,104,237,341,VICALVARO / TODOS,01-01-2017,2017
95 - 99,21,50,71,0,0,0,21,50,71,VICALVARO / TODOS,01-01-2017,2017
100 o más,1,11,12,0,1,1,1,12,13,VICALVARO / TODOS,01-01-2017,2017
Total,65836,73202,139038,7349,8395,15744,73185,81597,154782,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
0 - 4,2951,2776,5727,459,408,867,3410,3184,6594,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
5 - 9,3668,3584,7252,323,339,662,3991,3923,7914,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
10 - 14,4318,4034,8352,267,325,592,4585,4359,8944,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
15 - 19,3691,3597,7288,363,359,722,4054,3956,8010,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
20 - 24,3292,3146,6438,434,556,990,3726,3702,7428,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
25 - 29,3305,3183,6488,704,986,1690,4009,4169,8178,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
30 - 34,3425,3453,6878,998,1266,2264,4423,4719,9142,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
35 - 39,4228,4423,8651,1114,1145,2259,5342,5568,10910,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
40 - 44,5317,6030,11347,930,880,1810,6247,6910,13157,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
45 - 49,6403,6755,13158,658,675,1333,7061,7430,14491,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
50 - 54,6193,6717,12910,450,493,943,6643,7210,13853,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
55 - 59,5022,5279,10301,287,371,658,5309,5650,10959,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
60 - 64,3382,3698,7080,170,250,420,3552,3948,7500,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
65 - 69,2720,3270,5990,93,169,262,2813,3439,6252,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
70 - 74,2235,2917,5152,41,91,132,2276,3008,5284,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
75 - 79,1833,2882,4715,39,39,78,1872,2921,4793,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
80 - 84,2098,3655,5753,14,27,41,2112,3682,5794,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
85 - 89,1315,2510,3825,4,13,17,1319,2523,3842,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
90 - 94,386,1073,1459,1,3,4,387,1076,1463,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
95 - 99,52,194,246,0,0,0,52,194,246,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
100 o más,2,26,28,0,0,0,2,26,28,SAN BLAS-CANILLEJAS / TODOS,01-01-2017,2017
Total,20971,21977,42948,1785,2267,4052,22756,24244,47000,BARAJAS / TODOS,01-01-2017,2017
0 - 4,1321,1144,2465,95,124,219,1416,1268,2684,BARAJAS / TODOS,01-01-2017,2017
5 - 9,1388,1266,2654,82,68,150,1470,1334,2804,BARAJAS / TODOS,01-01-2017,2017
10 - 14,1311,1222,2533,101,67,168,1412,1289,2701,BARAJAS / TODOS,01-01-2017,2017
15 - 19,1047,965,2012,97,73,170,1144,1038,2182,BARAJAS / TODOS,01-01-2017,2017
20 - 24,875,826,1701,90,144,234,965,970,1935,BARAJAS / TODOS,01-01-2017,2017
25 - 29,879,886,1765,144,211,355,1023,1097,2120,BARAJAS / TODOS,01-01-2017,2017
30 - 34,1326,1257,2583,201,319,520,1527,1576,3103,BARAJAS / TODOS,01-01-2017,2017
35 - 39,1704,1711,3415,258,340,598,1962,2051,4013,BARAJAS / TODOS,01-01-2017,2017
40 - 44,1959,2148,4107,238,269,507,2197,2417,4614,BARAJAS / TODOS,01-01-2017,2017
45 - 49,1863,1874,3737,179,191,370,2042,2065,4107,BARAJAS / TODOS,01-01-2017,2017
50 - 54,1534,1721,3255,108,128,236,1642,1849,3491,BARAJAS / TODOS,01-01-2017,2017
55 - 59,1262,1326,2588,82,100,182,1344,1426,2770,BARAJAS / TODOS,01-01-2017,2017
60 - 64,1014,1177,2191,36,89,125,1050,1266,2316,BARAJAS / TODOS,01-01-2017,2017
65 - 69,1062,1360,2422,32,61,93,1094,1421,2515,BARAJAS / TODOS,01-01-2017,2017
70 - 74,1031,1186,2217,20,36,56,1051,1222,2273,BARAJAS / TODOS,01-01-2017,2017
75 - 79,672,706,1378,11,17,28,683,723,1406,BARAJAS / TODOS,01-01-2017,2017
80 - 84,415,565,980,8,13,21,423,578,1001,BARAJAS / TODOS,01-01-2017,2017
85 - 89,203,368,571,3,10,13,206,378,584,BARAJAS / TODOS,01-01-2017,2017
90 - 94,90,199,289,0,5,5,90,204,294,BARAJAS / TODOS,01-01-2017,2017
95 - 99,14,58,72,0,1,1,14,59,73,BARAJAS / TODOS,01-01-2017,2017
100 o más,1,12,13,0,1,1,1,13,14,BARAJAS / TODOS,01-01-2017,2017
Total,50815,59380,110195,21975,19396,41371,72790,78776,151566,CENTRO / TODOS,01-01-2004,2004
0 - 4,1889,1781,3670,959,884,1843,2848,2665,5513,CENTRO / TODOS,01-01-2004,2004
5 - 9,1474,1482,2956,801,768,1569,2275,2250,4525,CENTRO / TODOS,01-01-2004,2004
10 - 14,1462,1391,2853,800,702,1502,2262,2093,4355,CENTRO / TODOS,01-01-2004,2004
15 - 19,1649,1581,3230,925,818,1743,2574,2399,4973,CENTRO / TODOS,01-01-2004,2004
20 - 24,2427,2363,4790,2280,2224,4504,4707,4587,9294,CENTRO / TODOS,01-01-2004,2004
25 - 29,4527,4472,8999,4121,3562,7683,8648,8034,16682,CENTRO / TODOS,01-01-2004,2004
30 - 34,5712,5349,11061,3986,3151,7137,9698,8500,18198,CENTRO / TODOS,01-01-2004,2004
35 - 39,5398,4914,10312,3175,2429,5604,8573,7343,15916,CENTRO / TODOS,01-01-2004,2004
40 - 44,4708,4498,9206,2128,1733,3861,6836,6231,13067,CENTRO / TODOS,01-01-2004,2004
45 - 49,3976,4089,8065,1196,1194,2390,5172,5283,10455,CENTRO / TODOS,01-01-2004,2004
50 - 54,3133,3481,6614,708,749,1457,3841,4230,8071,CENTRO / TODOS,01-01-2004,2004
55 - 59,3091,3328,6419,388,461,849,3479,3789,7268,CENTRO / TODOS,01-01-2004,2004
60 - 64,2495,2931,5426,191,256,447,2686,3187,5873,CENTRO / TODOS,01-01-2004,2004
65 - 69,2227,3164,5391,115,171,286,2342,3335,5677,CENTRO / TODOS,01-01-2004,2004
70 - 74,2412,3901,6313,93,131,224,2505,4032,6537,CENTRO / TODOS,01-01-2004,2004
75 - 79,1976,3848,5824,57,73,130,2033,3921,5954,CENTRO / TODOS,01-01-2004,2004
80 - 84,1327,3271,4598,23,39,62,1350,3310,4660,CENTRO / TODOS,01-01-2004,2004
85 - 89,608,2243,2851,11,30,41,619,2273,2892,CENTRO / TODOS,01-01-2004,2004
90 - 94,254,985,1239,7,10,17,261,995,1256,CENTRO / TODOS,01-01-2004,2004
95 - 99,57,262,319,3,1,4,60,263,323,CENTRO / TODOS,01-01-2004,2004
100 o más,7,43,50,1,2,3,8,45,53,CENTRO / TODOS,01-01-2004,2004
No Consta,6,3,9,7,8,15,13,11,24,CENTRO / TODOS,01-01-2004,2004
Total,56607,67140,123747,11266,12154,23420,67873,79294,147167,ARGANZUELA / TODOS,01-01-2004,2004
0 - 4,2840,2599,5439,560,565,1125,3400,3164,6564,ARGANZUELA / TODOS,01-01-2004,2004
5 - 9,2445,2290,4735,600,572,1172,3045,2862,5907,ARGANZUELA / TODOS,01-01-2004,2004
10 - 14,2306,2293,4599,537,518,1055,2843,2811,5654,ARGANZUELA / TODOS,01-01-2004,2004
15 - 19,2731,2592,5323,568,654,1222,3299,3246,6545,ARGANZUELA / TODOS,01-01-2004,2004
20 - 24,3538,3365,6903,1386,1451,2837,4924,4816,9740,ARGANZUELA / TODOS,01-01-2004,2004
25 - 29,4325,4379,8704,1969,2192,4161,6294,6571,12865,ARGANZUELA / TODOS,01-01-2004,2004
30 - 34,4777,5093,9870,1850,1869,3719,6627,6962,13589,ARGANZUELA / TODOS,01-01-2004,2004
35 - 39,5391,5544,10935,1448,1422,2870,6839,6966,13805,ARGANZUELA / TODOS,01-01-2004,2004
40 - 44,4907,5640,10547,990,1069,2059,5897,6709,12606,ARGANZUELA / TODOS,01-01-2004,2004
45 - 49,4502,5428,9930,673,717,1390,5175,6145,11320,ARGANZUELA / TODOS,01-01-2004,2004
50 - 54,3946,4560,8506,293,443,736,4239,5003,9242,ARGANZUELA / TODOS,01-01-2004,2004
55 - 59,3291,3981,7272,153,268,421,3444,4249,7693,ARGANZUELA / TODOS,01-01-2004,2004
60 - 64,2549,3251,5800,84,128,212,2633,3379,6012,ARGANZUELA / TODOS,01-01-2004,2004
65 - 69,2381,3382,5763,53,122,175,2434,3504,5938,ARGANZUELA / TODOS,01-01-2004,2004
70 - 74,2494,3759,6253,46,85,131,2540,3844,6384,ARGANZUELA / TODOS,01-01-2004,2004
75 - 79,1974,3447,5421,24,38,62,1998,3485,5483,ARGANZUELA / TODOS,01-01-2004,2004
80 - 84,1226,2819,4045,18,22,40,1244,2841,4085,ARGANZUELA / TODOS,01-01-2004,2004
85 - 89,643,1718,2361,5,11,16,648,1729,2377,ARGANZUELA / TODOS,01-01-2004,2004
90 - 94,275,805,1080,2,4,6,277,809,1086,ARGANZUELA / TODOS,01-01-2004,2004
95 - 99,59,173,232,1,0,1,60,173,233,ARGANZUELA / TODOS,01-01-2004,2004
100 o más,4,20,24,0,0,0,4,20,24,ARGANZUELA / TODOS,01-01-2004,2004
No Consta,3,2,5,6,4,10,9,6,15,ARGANZUELA / TODOS,01-01-2004,2004
Total,52812,63076,115888,4970,6222,11192,57782,69298,127080,RETIRO / TODOS,01-01-2004,2004
0 - 4,2207,2076,4283,199,181,380,2406,2257,4663,RETIRO / TODOS,01-01-2004,2004
