district,year,age_range,spanish_men,spanish_women,spanish_total,foreign_total,total,spanish_men_ref,spanish_women_ref,spanish_total_ref,foreign_total_ref,total_ref,spanish_men_ratio,spanish_women_ratio,spanish_total_ratio,foreign_total_ratio,total_ratio
Vicálvaro,2017,25-39,4460,4583,9043,2865,11908,8441,8286,16727,2830,19557,0.5283734154721005,0.5531016171856142,0.5406229449393196,1.0123674911660778,0.608886843585417
Vicálvaro,2004,40-64,7806,8159,15965,1263,17228,7806,8159,15965,1263,17228,1.0,1.0,1.0,1.0,1.0
Vicálvaro,2005,40-64,8281,8504,16785,1624,18409,7806,8159,15965,1263,17228,1.060850627722265,1.0422845937002083,1.0513623551518947,1.285827395091053,1.0685511957278848
Vicálvaro,2006,40-64,8495,8811,17306,1994,19300,7806,8159,15965,1263,17228,1.0882654368434537,1.0799117538914083,1.0839962417788913,1.5787806809184481,1.1202693289993035
Vicálvaro,2007,40-64,8495,8809,17304,2110,19414,7806,8159,15965,1263,17228,1.0882654368434537,1.0796666258119867,1.0838709677419356,1.6706254948535233,1.1268864638959832
Vicálvaro,2008,40-64,8696,9015,17711,2318,20029,7806,8159,15965,1263,17228,1.1140148603638227,1.104914817992401,1.109364234262449,1.8353127474267616,1.1625841653122824
Vicálvaro,2009,40-64,9042,9324,18366,2591,20957,7806,8159,15965,1263,17228,1.1583397386625673,1.1427871062630224,1.150391481365487,2.0514647664291368,1.2164499651729743
Vicálvaro,2010,40-64,9440,9677,19117,2817,21934,7806,8159,15965,1263,17228,1.2093261593645914,1.1860522122809167,1.1974318822424053,2.2304038004750595,1.2731599721383793
Vicálvaro,2011,40-64,9787,10065,19852,2944,22796,7806,8159,15965,1263,17228,1.2537791442480144,1.2336070596886874,1.2434700908236769,2.3309580364212192,1.3231947991641513
Vicálvaro,2012,40-64,10239,10443,20682,2764,23446,7806,8159,15965,1263,17228,1.3116833205226748,1.2799362666993503,1.2954588161603509,2.1884402216943784,1.3609240770838171
Vicálvaro,2013,40-64,10739,10967,21706,2647,24353,7806,8159,15965,1263,17228,1.375736612861901,1.3441598235077827,1.3595991230817412,2.0958036421219317,1.4135709310424889
Vicálvaro,2014,40-64,11150,11435,22585,2437,25022,7806,8159,15965,1263,17228,1.4283884191647451,1.4015197940924133,1.4146570623238335,1.9295328582739508,1.452403064778268
Vicálvaro,2015,40-64,11570,11940,23510,2333,25843,7806,8159,15965,1263,17228,1.4821931847296952,1.4634146341463414,1.4725963044159098,1.8471892319873318,1.5000580450429533
Vicálvaro,2016,40-64,11991,12422,24413,2423,26836,7806,8159,15965,1263,17228,1.5361260568793236,1.5224905012869223,1.5291575321014719,1.9184481393507522,1.5576967726956117
Vicálvaro,2017,40-64,12305,12913,25218,2536,27754,7806,8159,15965,1263,17228,1.5763515244683577,1.5826694447849001,1.5795803319761978,2.0079176563737136,1.6109821221267704
Vicálvaro,2004,65-84,3244,3682,6926,116,7042,3244,3682,6926,116,7042,1.0,1.0,1.0,1.0,1.0
Vicálvaro,2005,65-84,3298,3762,7060,137,7197,3244,3682,6926,116,7042,1.0166461159062885,1.0217273221075502,1.0193473866589662,1.1810344827586208,1.022010792388526
Vicálvaro,2006,65-84,3489,3989,7478,167,7645,3244,3682,6926,116,7042,1.0755240443896423,1.083378598587724,1.0796996823563385,1.4396551724137931,1.0856290826469752
Vicálvaro,2007,65-84,3556,4107,7663,146,7809,3244,3682,6926,116,7042,1.0961775585696671,1.1154263986963606,1.106410626624314,1.2586206896551724,1.1089179210451576
Vicálvaro,2008,65-84,3568,4196,7764,149,7913,3244,3682,6926,116,7042,1.0998766954377313,1.1395980445410103,1.1209933583598037,1.2844827586206897,1.1236864527122976
Vicálvaro,2009,65-84,3664,4372,8036,150,8186,3244,3682,6926,116,7042,1.1294697903822442,1.1873981531776208,1.1602656656078545,1.293103448275862,1.1624538483385403
Vicálvaro,2010,65-84,3733,4496,8229,167,8396,3244,3682,6926,116,7042,1.150739827373613,1.2210755024443238,1.188131677736067,1.4396551724137931,1.1922749218971882
